time,interceptor.dynamics.longitude_rad,interceptor.dynamics.latitude_rad,interceptor.dynamics.altitude_m,interceptor.dynamics.speed_mps,interceptor.dynamics.flight_path_angle_rad,interceptor.dynamics.heading_angle_rad,interceptor.dynamics.position_ecef.x,interceptor.dynamics.position_ecef.y,interceptor.dynamics.position_ecef.z,interceptor.dynamics.velocity_ecef.x,interceptor.dynamics.velocity_ecef.y,interceptor.dynamics.velocity_ecef.z,interceptor.dynamics.local_velocity_nue.x,interceptor.dynamics.local_velocity_nue.y,interceptor.dynamics.local_velocity_nue.z,interceptor.dynamics.local_acceleration_nue.x,interceptor.dynamics.local_acceleration_nue.y,interceptor.dynamics.local_acceleration_nue.z,interceptor.dynamics.velocity_launch.x,interceptor.dynamics.velocity_launch.y,interceptor.dynamics.velocity_launch.z,interceptor.aero_assets.sample_count,interceptor.aero_assets.query_angle_of_attack_rad,interceptor.aero_assets.query_sideslip_angle_rad,interceptor.aero_assets.query_mach_number,interceptor.imu.local_acceleration_nue.x,interceptor.imu.local_acceleration_nue.y,interceptor.imu.local_acceleration_nue.z,interceptor.imu.speed_mps,interceptor.imu.flight_path_angle_rad,interceptor.imu.heading_angle_rad,interceptor.satnav.position_ecef.x,interceptor.satnav.position_ecef.y,interceptor.satnav.position_ecef.z,interceptor.satnav.velocity_ecef.x,interceptor.satnav.velocity_ecef.y,interceptor.satnav.velocity_ecef.z,interceptor.satnav.longitude_rad,interceptor.satnav.latitude_rad,interceptor.satnav.altitude_m,interceptor.satnav.speed_mps,interceptor.satnav.flight_path_angle_rad,interceptor.satnav.heading_angle_rad,interceptor.air_data.altitude_m,interceptor.air_data.speed_mps,interceptor.air_data.density_kg_per_m3,interceptor.air_data.pressure_pa,interceptor.air_data.temperature_k,interceptor.air_data.speed_of_sound_mps,interceptor.air_data.mach_number,interceptor.air_data.dynamic_pressure_pa,interceptor.seeker.relative_position_ecef.x,interceptor.seeker.relative_position_ecef.y,interceptor.seeker.relative_position_ecef.z,interceptor.seeker.relative_velocity_ecef.x,interceptor.seeker.relative_velocity_ecef.y,interceptor.seeker.relative_velocity_ecef.z,interceptor.seeker.line_of_sight_ecef.x,interceptor.seeker.line_of_sight_ecef.y,interceptor.seeker.line_of_sight_ecef.z,interceptor.seeker.range_m,interceptor.seeker.closing_speed_mps,interceptor.phase.elapsed_time_s,interceptor.planner.desired_position_ecef.x,interceptor.planner.desired_position_ecef.y,interceptor.planner.desired_position_ecef.z,interceptor.planner.desired_altitude_m,interceptor.planner.desired_speed_mps,interceptor.navigation.position_ecef.x,interceptor.navigation.position_ecef.y,interceptor.navigation.position_ecef.z,interceptor.navigation.velocity_ecef.x,interceptor.navigation.velocity_ecef.y,interceptor.navigation.velocity_ecef.z,interceptor.navigation.altitude_m,interceptor.navigation.speed_mps,interceptor.navigation.mach_number,interceptor.tracking.relative_position_ecef.x,interceptor.tracking.relative_position_ecef.y,interceptor.tracking.relative_position_ecef.z,interceptor.tracking.line_of_sight_ecef.x,interceptor.tracking.line_of_sight_ecef.y,interceptor.tracking.line_of_sight_ecef.z,interceptor.tracking.range_m,interceptor.tracking.closing_speed_mps,interceptor.guidance.line_of_sight_ecef.x,interceptor.guidance.line_of_sight_ecef.y,interceptor.guidance.line_of_sight_ecef.z,interceptor.guidance.acceleration_command_nue.x,interceptor.guidance.acceleration_command_nue.y,interceptor.guidance.acceleration_command_nue.z,interceptor.guidance.angle_of_attack_rad,interceptor.guidance.bank_angle_rad,interceptor.flight_control.angle_of_attack_rad,interceptor.flight_control.bank_angle_rad,interceptor.control_allocation.angle_of_attack_rad,interceptor.control_allocation.bank_angle_rad,interceptor.mass.mass_kg,interceptor.propulsion.force_n.x,interceptor.propulsion.force_n.y,interceptor.propulsion.force_n.z,interceptor.actuator.angle_of_attack_rad,interceptor.actuator.bank_angle_rad,interceptor.aero.angle_of_attack_rad,interceptor.aero.sideslip_angle_rad,interceptor.aero.mach_number,interceptor.aero.lift_coefficient,interceptor.aero.drag_coefficient,interceptor.interaction.propulsion_force_n.x,interceptor.interaction.propulsion_force_n.y,interceptor.interaction.propulsion_force_n.z,interceptor.interaction.local_acceleration_nue.x,interceptor.interaction.local_acceleration_nue.y,interceptor.interaction.local_acceleration_nue.z,interceptor.interaction.mass_kg,interceptor.interaction.gravity_mps2,interceptor.interaction.mach_number,interceptor.interaction.dynamic_pressure_pa,interceptor.interaction.lift_coefficient,interceptor.interaction.drag_coefficient,target.truth.position_ecef.x,target.truth.position_ecef.y,target.truth.position_ecef.z,target.truth.velocity_ecef.x,target.truth.velocity_ecef.y,target.truth.velocity_ecef.z
0,0,0,1000,250,0,1.57079632679,6372000,0,0,0,-250,1.53075794228e-14,1.53075794228e-14,0,-250,0,0,0,-250,0,-3.06151588456e-14,6,0,0,0,0,0,0,250,0,1.57079632679,6372000,0,0,0,-250,1.53075794228e-14,0,0,1000,250,0,1.57079632679,1000,250,1.112,89876,281.7,336.4,0.743162901308,34750,1000,3000,0,0,250,-1.53075794228e-14,0.316227766017,0.948683298051,0,3162.27766017,-237.170824513,0,6372000,0,0,1000,250,6372000,0,0,0,-250,1.53075794228e-14,1000,250,0.743162901308,1000,3000,0,0.316227766017,0.948683298051,0,3162.27766017,-237.170824513,0.316227766017,0.948683298051,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.80665,0,0,0,0,6373000,3000,0,0,0,0
0.1,-3.92341494026e-06,2.40231943226e-22,999.999697324,250.000000041,-2.42140440637e-05,1.57079632679,6371999.99965,-24.9999999981,1.53075794216e-15,-0.00703436475121,-249.999999942,1.53075794193e-14,1.53075794208e-14,-0.00605351101633,-249.999999968,0,0,0,-249.999999968,-0.00605351101633,-3.06151588416e-14,13,0,0,0,0,0,0,250.000000041,-2.42140440637e-05,1.57079632679,6371999.99965,-24.9999999981,1.53075794216e-15,-0.00703436475121,-249.999999942,1.53075794193e-14,-3.92341494026e-06,2.40231943226e-22,999.999697324,250.000000041,-2.42140440637e-05,1.57079632679,999.999697324,250.000000041,1.11200003329,89876.0033809,281.700001937,336.400001211,0.743162898755,34750.0010519,1000.00035172,3025,-1.53075794216e-15,0.00703436475121,249.999999942,-1.53075794193e-14,0.313872846385,0.949465026371,-4.80463183446e-19,3186.00466155,-237.368464434,0.1,6371999.99965,-24.9999999981,1.53075794216e-15,999.999697324,250.000000041,6371999.99965,-24.9999999981,1.53075794216e-15,-0.00703436475121,-249.999999942,1.53075794193e-14,999.999697324,250.000000041,0.743162898755,1000.00035172,3025,-1.53075794216e-15,0.313872846385,0.949465026371,-4.80463183446e-19,3186.00466155,-237.368464434,0.313872846385,0.949465026371,-4.80463183446e-19,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.80665,0,0,0,0,6373000,3000,0,0,0,0
